Episode,Score
0,21.0
1,21.0
2,21.0
3,21.0
4,21.0
5,19.0
6,21.0
7,19.0
8,21.0
9,21.0
10,17.0
11,21.0
12,20.0
13,21.0
14,20.0
15,21.0
16,21.0
17,21.0
18,21.0
19,21.0
20,21.0
21,21.0
22,20.0
23,20.0
24,20.0
25,17.0
26,20.0
27,20.0
28,21.0
29,21.0
30,21.0
31,21.0
32,21.0
33,20.0
34,21.0
35,19.0
36,21.0
37,20.0
38,19.0
39,21.0
40,21.0
41,21.0
42,19.0
43,20.0
44,20.0
45,21.0
46,21.0
47,20.0
48,20.0
49,20.0
50,20.0
51,21.0
52,18.0
53,20.0
54,21.0
55,19.0
56,21.0
57,20.0
58,20.0
59,21.0
60,19.0
61,20.0
62,21.0
63,20.0
64,21.0
65,21.0
66,21.0
67,21.0
68,20.0
69,20.0
70,21.0
71,20.0
72,20.0
73,21.0
74,19.0
75,21.0
76,21.0
77,21.0
78,21.0
79,21.0
80,21.0
81,19.0
82,17.0
83,21.0
84,17.0
85,21.0
86,21.0
87,21.0
88,20.0
89,20.0
90,20.0
91,21.0
92,20.0
93,20.0
94,20.0
95,18.0
96,21.0
97,20.0
98,21.0
99,21.0
