Episode,Score
0,1257
1,1074
2,677
3,637
4,542
5,515
6,296
7,304
8,477
9,697
10,-34
11,319
12,337
13,347
14,680
15,1228
16,756
17,1037
18,524
19,489
20,1067
21,508
22,321
23,1063
24,-34
25,1201
26,170
27,1348
28,317
29,540
30,1241
31,551
32,472
33,355
34,305
35,449
36,508
37,698
38,-34
39,1072
40,652
41,501
42,487
43,606
44,326
45,343
46,329
47,506
48,1052
49,683
50,1263
51,318
52,333
53,1636
54,-35
55,476
56,488
57,499
58,480
59,515
60,1053
61,306
62,300
63,338
64,699
65,1262
66,1024
67,515
68,-49
69,354
70,498
71,694
72,530
73,927
74,1162
75,327
76,515
77,497
78,615
79,1235
80,360
81,1149
82,1041
83,521
84,1152
85,497
86,299
87,506
88,498
89,524
90,1260
91,324
92,-30
93,1603
94,701
95,-31
96,1261
97,1044
98,1238
99,695
