Episode,Score
0,390
1,1855
2,381
3,963
4,1490
5,942
6,2160
7,2169
8,482
9,1244
10,2079
11,1279
12,959
13,1123
14,486
15,483
16,686
17,1300
18,1249
19,482
20,660
21,2167
22,389
23,1360
24,1298
25,377
26,484
27,1892
28,485
29,1954
30,1136
31,1117
32,487
33,1489
34,379
35,390
36,1127
37,693
38,1134
39,485
40,1359
41,1134
42,1129
43,1855
44,692
45,2051
46,1480
47,962
48,942
49,1792
50,964
51,1955
52,1123
53,1294
54,2069
55,1128
56,965
57,1943
58,1842
59,2111
60,962
61,487
62,1299
63,1286
64,2084
65,371
66,1128
67,1793
68,1359
69,1142
70,1856
71,661
72,963
73,690
74,487
75,372
76,1127
77,484
78,1290
79,404
80,170
81,1128
82,2092
83,485
84,1244
85,1133
86,1352
87,2115
88,1277
89,2092
90,2118
91,379
92,2073
93,2090
94,1128
95,1278
96,1494
97,1276
98,2064
99,2079
