Episode,Score
0,166
1,168
2,167
3,370
4,363
5,163
6,152
7,479
8,167
9,174
10,664
11,173
12,173
13,165
14,161
15,160
16,168
17,367
18,404
19,375
20,164
21,381
22,165
23,166
24,164
25,379
26,374
27,163
28,168
29,477
30,370
31,384
32,389
33,165
34,167
35,470
36,159
37,386
38,471
39,376
40,169
41,169
42,165
43,377
44,369
45,495
46,431
47,165
48,397
49,165
50,173
51,372
52,167
53,163
54,388
55,385
56,376
57,167
58,378
59,167
60,163
61,363
62,693
63,167
64,164
65,163
66,161
67,158
68,383
69,470
70,386
71,163
72,372
73,487
74,162
75,161
76,431
77,387
78,162
79,377
80,168
81,475
82,488
83,161
84,380
85,377
86,382
87,164
88,395
89,375
90,166
91,465
92,164
93,160
94,386
95,162
96,486
97,382
98,166
99,166
