Episode,Score
0,3557.0
1,916.0
2,5896.0
3,580.0
4,13853.0
5,6820.0
6,923.0
7,2578.0
8,584.0
9,576.0
10,5891.0
11,1857.0
12,915.0
13,903.0
14,3566.0
15,3880.0
16,77.0
17,2570.0
18,908.0
19,7558.0
20,3872.0
21,2560.0
22,3565.0
23,1854.0
24,906.0
25,3556.0
26,22057.0
27,2581.0
28,579.0
29,1565.0
30,569.0
31,4574.0
32,565.0
33,904.0
34,568.0
35,6842.0
36,3877.0
37,1571.0
38,5890.0
39,571.0
40,4553.0
41,6831.0
42,2580.0
43,576.0
44,2564.0
45,3871.0
46,569.0
47,2578.0
48,567.0
49,903.0
50,3883.0
51,572.0
52,916.0
53,1870.0
54,579.0
55,2575.0
56,2552.0
57,1561.0
58,1560.0
59,1565.0
60,901.0
61,75.0
62,904.0
63,6842.0
64,1575.0
65,573.0
66,577.0
67,910.0
68,3880.0
69,586.0
70,5897.0
71,7542.0
72,4573.0
73,1562.0
74,896.0
75,5893.0
76,5560.0
77,3881.0
78,3882.0
79,5892.0
80,581.0
81,566.0
82,7548.0
83,911.0
84,3892.0
85,1576.0
86,906.0
87,901.0
88,899.0
89,908.0
90,1574.0
91,72.0
92,122.0
93,574.0
94,6838.0
95,2561.0
96,1856.0
97,1858.0
98,2555.0
99,1843.0
