Episode,Score
0,887.0
1,64.0
2,74.0
3,70.0
4,76.0
5,57.0
6,142.0
7,74.0
8,71.0
9,139.0
10,1804.0
11,902.0
12,831.0
13,149.0
14,78.0
15,132.0
16,135.0
17,69.0
18,888.0
19,75.0
20,75.0
21,64.0
22,135.0
23,134.0
24,75.0
25,870.0
26,133.0
27,129.0
28,134.0
29,72.0
30,133.0
31,81.0
32,134.0
33,84.0
34,1820.0
35,131.0
36,74.0
37,1529.0
38,67.0
39,135.0
40,68.0
41,76.0
42,72.0
43,135.0
44,560.0
45,131.0
46,848.0
47,71.0
48,70.0
49,68.0
50,73.0
51,66.0
52,1763.0
53,76.0
54,78.0
55,122.0
56,72.0
57,63.0
58,69.0
59,130.0
60,129.0
61,77.0
62,68.0
63,75.0
64,133.0
65,76.0
66,74.0
67,71.0
68,74.0
69,136.0
70,71.0
71,129.0
72,892.0
73,136.0
74,130.0
75,135.0
76,69.0
77,135.0
78,75.0
79,71.0
80,77.0
81,133.0
82,890.0
83,67.0
84,133.0
85,74.0
86,78.0
87,856.0
88,1547.0
89,71.0
90,866.0
91,68.0
92,138.0
93,73.0
94,63.0
95,72.0
96,847.0
97,74.0
98,866.0
99,71.0
