Episode,Score
0,250
1,267
2,238
3,139
4,249
5,239
6,247
7,640
8,244
9,249
10,607
11,267
12,249
13,640
14,614
15,250
16,599
17,612
18,139
19,139
20,249
21,639
22,429
23,588
24,251
25,267
26,244
27,139
28,640
29,610
30,267
31,139
32,640
33,139
34,249
35,395
36,1043
37,231
38,1133
39,629
40,230
41,223
42,230
43,227
44,728
45,238
46,615
47,248
48,230
49,611
50,234
51,224
52,630
53,626
54,231
55,624
56,613
57,231
58,246
59,231
60,1306
61,231
62,1047
63,588
64,594
65,233
66,617
67,601
68,616
69,1045
70,234
71,621
72,802
73,223
74,1126
75,768
76,234
77,234
78,241
79,727
80,246
81,619
82,243
83,231
84,230
85,231
86,234
87,234
88,233
89,1294
90,1541
91,227
92,238
93,231
94,1041
95,619
96,1039
97,609
98,627
99,622
