Episode,Score
0,1058
1,1071
2,1073
3,321
4,-65
5,723
6,-60
7,-64
8,746
9,710
10,741
11,-65
12,-57
13,740
14,422
15,-55
16,325
17,-31
18,1018
19,1071
20,1082
21,1084
22,289
23,457
24,495
25,1074
26,1024
27,1097
28,451
29,719
30,1176
31,-61
32,1082
33,269
34,422
35,735
36,1077
37,-56
38,1012
39,-54
40,1392
41,-60
42,-58
43,-46
44,1030
45,1055
46,443
47,-55
48,750
49,519
50,1070
51,1074
52,300
53,-58
54,1072
55,1071
56,-68
57,461
58,-65
59,723
60,-37
61,491
62,1055
63,350
64,1082
65,284
66,504
67,293
68,500
69,1074
70,-56
71,1059
72,730
73,-52
74,298
75,312
76,1020
77,-60
78,292
79,-39
80,516
81,1117
82,1072
83,764
84,627
85,311
86,439
87,1032
88,1055
89,-60
90,1062
91,1015
92,419
93,352
94,747
95,743
96,-54
97,1078
98,313
99,479
